CupperPoints,ID,Country,HarvestYear,Variety,Process,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Cleanliness,Sweetness,Moisture,C1Defect,C2Defect,Quakers,Color,MeanAlt,Address,Contact,Elevation,FullElevation,Precipitation,Temperature,Continent,NSHem,EWHem
10,263,Taiwan,2012,Unknown,Unknown,7,7.08,7,7.17,7,7,10,10,10,0.1,0,0,0,Blue-Green,Unknown,10,10,1150,1150,2500,16,Asia,N,E
10,267,Taiwan,2012,Unknown,Unknown,7.25,7.25,7,7.08,7,7,10,10,10,0.11,0,0,0,Blue-Green,200,10,10,1150,200,2500,16,Asia,N,E
10,277,Taiwan,2013,Unknown,Unknown,7.67,7.67,7,7.08,7,7,10,10,10,0.11,0,0,0,Blue-Green,Unknown,10,10,1150,1150,2500,16,Asia,N,E
10,278,Taiwan,2012,Unknown,Unknown,7.58,7.58,7.17,7.17,7,7,10,10,10,0.11,0,0,0,Blue-Green,Unknown,10,10,1150,1150,2500,16,Asia,N,E
9.25,1096,Guatemala,2010,Bourbon,Unknown,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,0,0,0,0,Unknown,1700,2,2,759,1700,1996,23.45,North America,N,W
9,192,Ethiopia,2010,Unknown,Unknown,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,0.03,0,0,0,Unknown,1635,14,14,1330,1635,848,22.2,Africa,N,E
8.83,189,Ethiopia,2010,Unknown,Unknown,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,0.05,0,2,0,Unknown,Unknown,14,14,1330,1330,848,22.2,Africa,N,E
8.75,15,Ethiopia,2014,Unknown,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,0.12,0,0,0,Green,2075,28,26,1330,2075,848,22.2,Africa,N,E
8.67,13,Ethiopia,2014,Unknown,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,0.11,0,2,0,Green,2000,28,26,1330,2000,848,22.2,Africa,N,E
8.67,191,Ethiopia,2010,Unknown,Unknown,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,0.03,0,0,0,Unknown,1635,14,14,1330,1635,848,22.2,Africa,N,E
8.58,10,Ethiopia,2014,Unknown,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,0.1,0,1,0,Unknown,1905,28,26,1330,1905,848,22.2,Africa,N,E
8.58,12,Ethiopia,2013,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,0.12,0,2,0,Green,2075,28,26,1330,2075,848,22.2,Africa,N,E
8.58,14,Ethiopia,2014,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,0.12,0,1,0,Green,2075,28,26,1330,2075,848,22.2,Africa,N,E
8.58,801,Mexico,2014,Other,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,0.13,0,0,0,Green,1320,3,3,1111,1320,758,21,North America,N,W
8.58,1095,United States (Hawaii),2010,Unknown,Unknown,8.33,8.42,8.08,8.25,8.25,8,10,10,10,0,0,2,0,Unknown,609.6,2,2,924,609.6,433,27.5,North America,N,W
8.5,11,Ethiopia,2014,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,0.1,0,4,0,Green,1822.5,28,26,1330,1822.5,848,22.2,Africa,N,E
8.5,93,Peru,2012,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,0.11,0,0,0,Bluish-Green,Unknown,19,19,1555,1555,1738,19.6,South America,S,W
8.5,190,Ethiopia,2010,Unknown,Unknown,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,0.05,0,2,0,Unknown,1635,14,14,1330,1635,848,22.2,Africa,N,E
8.5,296,Colombia,2015,Caturra,Natural / Dry,7.67,7.5,7.42,7.67,7.5,7.75,10,10,6.67,0,0,1,0,Unknown,1550,9,9,593,1550,3240,24.5,South America,B,W
8.5,467,United States,2014,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,0,0,0,0,Unknown,1872,9,9,760,1872,715,8.55,North America,N,W
8.5,595,Brazil,2012,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,0,0,3,0,Green,890,4,4,320,890,1782,24.95,South America,B,W
8.5,884,United States (Puerto Rico),2014,Other,Washed / Wet,7.67,7.75,7.67,7.58,7.58,7.67,6.67,10,10,0,0,0,0,Green,853.44,2,2,1338,853.44,1550,24,North America,N,W
8.5,1058,Nicaragua,2011,Unknown,Unknown,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,0.18,0,2,0,Unknown,925,2,2,298,925,2280,24.9,North America,N,W
8.42,30,China,2014,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,0.1,0,0,0,Green,1450,25,23,1840,1450,645,6.95,Asia,N,E
8.42,530,Costa Rica,2016,Caturra,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,0,0,0,0,Blue-Green,1300,5,5,746,1300,2926,24.8,North America,N,W
8.42,780,Mexico,2015,Bourbon,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,0.13,0,14,0,Green,1170,3,3,1111,1170,758,21,North America,N,W
8.42,1038,Thailand,2017,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,0.12,0,0,0,Green,Unknown,2,2,287,287,1622,26.3,Asia,N,E
8.42,1085,Taiwan,2011,Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,0.12,0,0,0,Green,1000,2,2,1150,1000,2500,16,Asia,N,E
8.42,1086,Thailand,2010,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,0.1,1,9,0,Green,1300,2,2,287,1300,1622,26.3,Asia,N,E
8.33,94,Brazil,2014,Unknown,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,0.11,0,1,0,Bluish-Green,Unknown,19,19,320,320,1782,24.95,South America,B,W
8.33,290,Ethiopia,2014,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,0,0,8,0,Unknown,1850,10,10,1330,1850,848,22.2,Africa,N,E
8.33,426,Colombia,2014,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,0.12,0,3,0,Green,1775,9,9,593,1775,3240,24.5,South America,B,W
8.33,468,United States,2014,Other,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,0,0,0,0,Unknown,1943,9,9,760,1943,715,8.55,North America,N,W
